id,name,state_id,lat,lng
536,Dewas,23,22.97,76.05
537,Dhar,23,22.6,75.29
538,Gohad,23,26.43,78.45
539,Guna,23,24.65,77.3
540,Gwalior,23,26.23,78.17
541,Harda,23,22.33,77.11
542,Hoshangabad,23,22.75,77.71
543,Indore,23,22.72,75.86
544,Itarsi,23,22.62,77.76
545,Jabalpur,23,23.17,79.94
546,Jabalpur Cantonment,23,23.16,79.95
547,Jaora,23,23.64,75.11
548,Khandwa,23,21.83,76.35
549,Khargone,23,21.83,75.6
550,Mandidip,23,23.1,77.52
551,Mandsaur,23,24.07,75.07
552,Mau,23,22.56,75.75
553,Morena,23,26.51,77.99
554,Murwara,23,23.85,80.39
555,Nagda,23,23.46,75.42
556,Nimach,23,24.47,74.87
557,Pithampur,23,,
558,Raghogarh,23,24.45,77.2
559,Ratlam,23,23.35,75.03
560,Rewa,23,24.53,81.29
561,Sagar,23,23.85,78.75
562,Sarni,23,22.04,78.27
563,Satna,23,24.58,80.83
564,Sehore,23,23.2,77.08
565,Sendhwa,23,21.68,75.1
566,Seoni,23,22.1,79.55
567,Shahdol,23,23.3,81.36
568,Shajapur,23,23.43,76.27
569,Sheopur,23,25.67,76.7
570,Shivapuri,23,25.43,77.65
571,Sidhi,23,24.42,81.88
572,Singrauli,23,23.84,82.27
573,Tikamgarh,23,24.74,78.83
574,Ujjain,23,23.19,75.78
575,Vidisha,23,23.53,77.8
576,Achalpur,27,21.26,77.5
577,Ahmednagar,27,19.1,74.74
578,Akola,27,20.71,77
579,Akot,27,21.1,77.05
580,Amalner,27,21.05,75.06
581,Ambajogai,27,18.73,76.38
582,Amravati,27,20.95,77.76
583,Anjangaon,27,21.16,77.31
584,Aurangabad,27,19.89,75.32
585,Badlapur,27,19.15,73.27
586,Ballarpur,27,19.85,79.35
587,Baramati,27,18.15,74.58
588,Barsi,27,18.24,75.69
589,Basmat,27,19.32,77.17
590,Bhadravati,27,20.11,79.12
591,Bhandara,27,21.18,79.65
592,Bhiwandi,27,19.3,73.05
593,Bhusawal,27,21.05,75.78
594,Bid,27,18.99,75.76
595,Mumbai,27,18.96,72.82
596,Buldana,27,20.54,76.18
597,Chalisgaon,27,20.46,74.99
598,Chandrapur,27,19.96,79.3
599,Chikhli,27,20.35,76.25
600,Chiplun,27,17.53,73.52
601,Chopda,27,21.25,75.28
602,Dahanu,27,19.97,72.73
603,Deolali,27,19.95,73.84
604,Dhule,27,20.9,74.77
605,Digdoh,27,,
606,Diglur,27,18.55,77.6
607,Gadchiroli,27,20.17,80
608,Gondiya,27,21.47,80.2
609,Hinganghat,27,20.56,78.83
610,Hingoli,27,19.72,77.14
611,Ichalkaranji,27,16.69,74.46
612,Jalgaon,27,21.01,75.56
613,Jalna,27,19.85,75.88
614,Kalyan,27,19.25,73.16
615,Kamthi,27,21.23,79.2
616,Karanja,27,20.48,77.48
617,Khadki,27,18.57,73.83
618,Khamgaon,27,20.7,76.56
619,Khopoli,27,18.78,73.33
620,Kolhapur,27,16.7,74.22
621,Kopargaon,27,19.88,74.48
622,Latur,27,18.41,76.58
623,Lonavala,27,18.75,73.42
624,Malegaon,27,20.56,74.52
625,Malkapur,27,20.9,76.19
626,Manmad,27,20.26,74.43
627,Mira Bhayandar,27,19.29,72.85
628,Nagpur,27,21.16,79.08
629,Nalasopara,27,19.43,72.78
630,Nanded,27,19.17,77.29
631,Nandurbar,27,21.38,74.23
632,Nashik,27,20.01,73.78
633,Navghar,27,19.34,72.9
634,Navi Mumbai,27,19.11,73.06
635,Osmanabad,27,19,73.1
636,Palghar,27,18.17,76.03
637,Pandharpur,27,19.68,72.75
638,Parbhani,27,17.68,75.31
639,Phaltan,27,19.27,76.76
640,Pimpri,27,17.98,74.43
641,Pune,27,18.62,73.8
642,Pune Cantonment,27,18.53,73.84
643,Pusad,27,18.5,73.88
644,Ratnagiri,27,19.91,77.57
645,Sangli,27,17,73.29
