id,name,type_id,harmonic_id,discount,mrp,unit,gst,description
207,Orange Powder,1,1,35,600,Kg,18,
208,Vanilla Powder Classic,1,1,50,550,Kg,18,
209,Vanilla Powder Std.,1,1,50,425,Kg,18,
210,Vanilla Powder CP,1,1,50,275,Kg,18,
211,Rose SDC,1,1,50,325,Ltr,18,
212,Mango SDC,1,1,50,350,Ltr,18,
213,Orange SDC,1,1,50,325,Ltr,18,
214,Onion,1,1,50,675,Ltr,18,
215,Nutmeg,1,1,50,650,Ltr,18,
216,Nutmeg Powder,1,1,50,575,Kg,18,
217,Fruit Combination,1,1,50,625,Ltr,18,
218,Vanilla Booster,1,1,50,550,Ltr,18,
219,Kiwi,1,1,50,650,Ltr,18,
220,Mawa Spl. Powder,1,1,50,575,Kg,18,
221,Garlic Powder,1,1,50,375,Kg,18,
222,Coconut Cookies J2,1,1,50,575,Ltr,18,
223,Jeera Conc. J2,1,1,50,825,Ltr,18,
224,Pineapple Singapore J2,1,1,50,700,Ltr,18,
225,Mint Cool,1,1,50,1800,Ltr,18,
226,Lemon Ginger,1,1,50,875,Ltr,18,
227,Rajbhog,1,1,50,2700,Ltr,18,
228,Mango Powder,1,1,50,575,Kg,18,
229,Pineapple Powder,1,1,50,525,Kg,18,
230,Rose Powder,1,1,50,625,Kg,18,
231,Milk Compound Powder,1,1,50,300,Kg,18,
232,Chocolate Bourbon J2,1,1,50,925,Ltr,18,
233,Coconut No. 1 J2,1,1,50,575,Ltr,18,
234,Mawa Malai,1,1,50,1025,Ltr,18,
235,Vanilla Creamy Classic J2,1,1,50,850,Ltr,18,
236,Chocolate Spl. J2,1,1,50,625,Ltr,18,
237,Mango DX J2,1,1,50,1200,Ltr,18,
238,Shai Gulab,1,1,50,425,Ltr,18,
239,Choco Max (Melody),1,1,50,1125,Ltr,18,
240,Cinnamon,1,1,50,700,Ltr,18,
241,Vanilla Top,1,1,50,175,Ltr,18,
242,Butterscotch 933 J2,1,1,50,1200,Ltr,18,
243,Food Preservative Liquid,1,1,50,150,Ltr,18,
244,Rose White Super J2,1,1,50,575,Ltr,18,
245,Kesar Powder,1,1,50,1275,Kg,18,
246,Almond Powder,1,1,50,475,Kg,18,
247,Kesar Badam Powder,1,1,50,1050,Kg,18,
248,Chocolate Powder,1,1,50,600,Kg,18,
249,Lemon Powder,1,1,50,650,Kg,18,
250,Cheese Powder,1,1,50,600,Kg,18,
251,American Icecream Powder,1,1,50,600,Kg,18,
252,Banana Powder,1,1,50,600,Kg,18,
253,Strawberry Powder,1,1,50,675,Kg,18,
254,Orange Sweet No. 1 J2,1,1,50,675,Ltr,18,
255,Honey,1,1,50,1100,Ltr,18,
256,French Vanilla,1,1,50,850,Ltr,18,
257,Kesar SDC,1,1,50,550,Ltr,18,
258,Chocolate SDC,1,1,50,350,Ltr,18,
259,Fresh Orange,1,1,50,800,Ltr,18,
260,Pina Colada,1,1,50,600,Ltr,18,
261,Butta Belly,1,1,50,375,Ltr,18,
262,Mixed Fruit Powder,1,1,50,500,Kg,18,
263,Cumin Powder,1,1,50,575,Kg,18,
264,Choco Orange,1,1,50,750,Ltr,18,
265,Choco Strawberry,1,1,50,850,Ltr,18,
266,Choco Coffee,1,1,50,800,Ltr,18,
267,Choco Mango,1,1,50,1150,Ltr,18,
268,Choco Almond,1,1,50,750,Ltr,18,
269,Choco Rose,1,1,50,750,Ltr,18,
270,Choco Mint,1,1,50,1100,Ltr,18,
271,Chocolate Supreme Powder,1,1,50,825,Kg,18,
272,Dill,1,1,50,700,Ltr,18,
273,Cherry Powder,1,1,50,550,Kg,18,
